Regione;1.1%;1.2%;1.3%;1.4%;3.1;3.2;3.5;3.6;3.8%;3.9%;2.1%;2.2;2.4 (per 10000);2.5(per 10000);2.6%;Report
Abruzzo;86.9;99.7;100;99.8;2197;0.7;164;786;23;37;19.8;3;0.9;1;87;33
Basilicata;99.9;100;100;100;1089;0.69;0;15;9;31;7.9;0;1.2;6.2;100;33
Calabria;86.1;100;97.1;98.8;2614;0.8;12;148;14;32;8.1;2;0.9;0.6;95;33
Campania;90.4;100;100;99;15275;0.65;441;2013;19;35;9.3;1;0.7;1.3;91.3;33
Emilia-Romagna;100;100;100;99.4;21832;0.82;37;5180;27;52;13.7;2;1.2;1.7;80.4;33
FVG;99.9;100;100;99.8;9724;0.78;530;1725;32;48;26.2;3;1.3;1.2;93.7;33
Lazio;91.5;98.8;100;94.5;18763;0.96;246;175;33;42;21.2;4;0.9;1;92.7;33
Liguria;85.6;99.9;100;97.7;3798;0.82;217;79;32;42;8.3;3;1;1;80;33
Lombardia;72.7;99.9;100;98.4;30109;0.92;1672;8152;44;34;23;3;1;0.9;91.1;33
Marche;99.9;100;100;100;4876;0.81;146;941;33;35;20.9;1;1;1.4;100;33
Molise;98.5;100;100;100;748;1.02;9;0;26;27;7.6;0;1.5;2.4;100;33
Piemonte;98.5;99.5;99.9;98.6;11569;0.69;732;1362;37;59;9.8;5;1.2;1.8;94.3;33
PA Bolzano;93.2;99.4;100;99.6;2761;0.71;33;251;29;36;32.7;3;5.4;1.4;100;33
PA Trento;100;100;100;95.1;2992;0.68;6;1558;54;63;24.9;11;1.1;1.6;100;33
Puglia;93.5;100;100;100;16258;0.88;164;4217;36;41;33.3;4;0.9;1.4;92;33
Sardegna;61.8;99.8;100;99.7;4200;0.74;275;154;27;33;11.4;4;0.7;1.9;77.1;33
Sicilia;91.1;99.9;100;99.2;13040;0.74;583;3193;23;27;5.9;3;0.7;1.9;86.6;33
Toscana;96.8;100;100;99.3;7386;0.7;179;1676;32;19;10.9;0;2.1;1.8;99.2;33
Umbria;92.4;100;100;99.4;2097;0.76;152;661;32;33;12;3;1.5;3.1;100;33
V.d'Aosta;94.3;100;100;99.7;305;0.68;50;0;12;48;17.3;2;2.2;4.1;100;33
Veneto;86.5;100;100;100;51674;1.11;5152;5868;34;44;13.2;2;1;2.8;91.6;33
