Region;1.1%;1.2%;1.3%;1.4%;3.1;3.2;3.5;3.6;3.8%;3.9%;2.1%;2.2;2.4(per 10000);2.5(per 10000);2.6%;Report
Abruzzo;97.7;100.0;100.0;99.7;2517;0.78;224;347;24;28;5.5;2;0.8;1;97.9;50
Basilicata;99.9;100.0;100.0;100.0;2304;1.02;6;3;11;36;10.4;5;1.5;5.2;93;50
Calabria;82.8;99.8;100.0;99.6;6425;0.75;36;320;29;49;11.9;4;0.9;0.6;82.8;50
Campania;99.6;100.0;100.0;99.7;26088;1.08;1473;2970;22;35;13;1;0.8;1.6;96.8;50
Emilia-Romagna;100.0;100.0;100.0;99.7;13794;0.81;82;2542;32;28;9.9;2;1.3;1.6;89.6;50
FVG;99.8;99.8;100.0;99.8;3028;0.71;197;355;18;21;7.1;2;1.2;1.2;98.9;50
Lazio;94.4;100.0;100.0;96.7;16780;0.85;174;167;34;37;16.4;3;0.9;1;96.5;50
Liguria;94.0;99.9;100.0;97.7;4222;0.83;269;120;29;28;7.8;3;0.8;0.8;93.2;50
Lombardia;83.3;99.9;100.0;98.4;28504;0.84;1919;6982;41;33;6.9;2;0.9;0.9;94.9;50
Marche;100.0;100.0;100.0;100.0;3938;0.81;128;497;31;37;12;0;0.8;1.4;100;50
Molise;100.0;100.0;100.0;100.0;488;1;8;0;28;19;5.8;0;1.1;2.6;99.5;50
Piemonte;79.7;100.0;100.0;98.9;14275;0.78;1074;1350;38;40;8;4;1.5;2.1;96;50
PA Bolzano;97.3;100.0;100.0;98.5;860;0.99;10;333;6;14;23.8;3;2.2;3.7;98;50
PA Trento;95.3;100.0;100.0;97.0;1213;0.84;9;480;27;15;11.7;3;1.1;1.6;100;50
Puglia;97.3;100.0;100.0;100.0;18651;0.92;162;4172;39;46;17.7;3;0.9;1;84.6;50
Sardegna;91.3;100.0;100.0;100.0;4346;0.81;390;197;21;23;8.1;4;0.5;1.8;91.4;50
Sicilia;96.3;100.0;100.0;100.0;17089;1.05;1054;2948;20;33;13;3;0.7;2.4;98.1;50
Toscana;98.8;100.0;100.0;99.2;13606;0.92;672;2337;41;29;15.6;1;2;1.7;100;50
Umbria;96.8;100.0;100.0;99.2;1471;0.89;133;245;28;22;19.2;2;0.9;3;100;50
V.d'Aosta;99.3;100.0;100.0;100.0;638;0.82;29;180;27;21;20.6;2;1.7;1.8;100;50
Veneto;96.2;100.0;100.0;100.0;12623;0.86;1238;1016;18;17;5.8;1;1;1.8;89.5;50
