Region;1.1%;1.2%;1.3%;1.4%;3.1;3.2;3.5;3.6;3.8%;3.9%;2.1%;2.2;2.4(per 10000);2.5(per 10000);2.6%;Report
Abruzzo;93.8;99.9;100.0;99.7;4069;0.89;346;733;33;40;11.4;2;0.8;1;97.90;47
Basilicata;98.8;100.0;100.0;100.0;1660;1.15;6;2;15;39;9.7;4;1.5;5.2;93.00;47
Calabria;90.4;99.4;100.0;99.9;5393;0.93;32;258;24;47;12.6;1;0.9;0.6;82.80;47
Campania;95.1;89.7;100.0;99.6;26834;1.19;1653;3160;26;37;14.1;1;0.8;1.6;92.80;47
Emilia-Romagna;100.0;100.0;100.0;99.6;25948;0.81;125;5333;48;49;17.6;2;1.3;1.7;88.70;47
FVG;99.9;100.0;100.0;99.9;7862;0.79;410;1176;46;47;13.7;3;1.2;1.2;94.30;47
Lazio;94.4;100.0;100.0;96.4;24035;0.9;296;527;42;50;22.5;3;0.9;1;92.00;47
Liguria;92.0;100.0;100.0;97.7;6239;1.19;496;295;35;38;11.9;3;0.8;0.8;93.20;47
Lombardia;83.9;100.0;100.0;98.6;53123;0.85;3094;11468;60;48;16.7;3;0.9;0.9;85.20;47
Marche;100.0;99.7;100.0;100.0;7013;0.86;167;1106;57;56;13.8;0;0.8;1.4;100.00;47
Molise;95.7;99.0;100.0;100.0;454;0.81;8;0;41;24;6.8;-2;1.1;2.6;100.00;47
Piemonte;81.6;100.0;99.9;98.8;28443;0.9;2027;3245;59;67;13.8;6;1.4;2;96.60;47
PA Bolzano;84.0;99.3;100.0;95.9;12256;0.91;9;369;17;18;28.1;2;6.8;3.5;100.00;47
PA Trento;95.1;100.0;100.0;96.9;2388;0.86;9;882;59;29;19.1;3;1.1;1.6;100.0;47
Puglia;97.7;100.0;100.0;99.9;24666;1.06;282;6363;42;52;23.7;3;0.9;1;82.20;47
Sardegna;89.9;100.0;100.0;100.0;3721;1.54;359;293;23;19;9.5;3;0.5;2;93.60;47
Sicilia;96.3;100.0;100.0;99.6;12817;1.22;739;2849;19;28;45.7;2;0.7;2.4;98.10;47
Toscana;97.7;100.0;100.0;99.4;19388;1.02;925;4562;44;34;18.6;0;2;1.7;99.90;47
Umbria;93.5;100.0;100.0;99.2;2305;0.97;181;309;36;37;11.5;2;0.9;3;100.00;47
V.d'Aosta;96.6;100.0;100.0;99.9;1043;1.39;87;326;50;24;15.4;2;2;1.5;100.0;47
Veneto;90.3;100.0;100.0;100.0;22231;0.96;1798;3046;30;29;7.8;1;1;1.8;96.8;47
