Region;1.1%;1.2%;1.3%;1.4%;3.1;3.2;3.5;3.6;3.8%;3.9%;2.1%;2.2;2.4(per 10000);2.5(per 10000);2.6%;Report
Abruzzo;97.2;100.0;100.0;99.6;2790;0.84;280;454;26;34;7.4;3;0.8;1;97.9;49
Basilicata;99.9;100.0;100.0;100.0;2189;1.24;11;2;11;39;12.5;4;1.5;5.2;93;49
Calabria;82.0;99.6;100.0;99.6;6085;1.03;31;531;31;49;13.5;6;0.9;0.6;82.8;49
Campania;99.6;100.0;100.0;99.7;24589;0.92;1493;2985;25;35;13.7;1;0.8;1.6;92.8;49
Emilia-Romagna;100.0;100.0;100.0;99.7;15414;0.73;84;2564;38;33;12;2;1.3;1.6;89.6;49
FVG;99.8;100.0;100.0;99.8;3606;0.61;272;419;29;27;8.7;3;1.2;1.2;98.9;49
Lazio;93.8;100.0;100.0;96.6;18121;0.78;120;148;37;43;16.9;3;0.9;1;96.5;49
Liguria;95.1;99.9;100.0;97.9;4811;0.82;292;181;31;33;8.2;3;0.8;0.8;93.2;49
Lombardia;85.3;100.0;100.0;98.4;30476;0.72;2314;7161;48;38;9;3;0.9;1;94.5;49
Marche;100.0;99.8;100.0;100.0;4314;0.69;131;691;36;40;13.1;0;0.8;1.4;100;49
Molise;98.7;100.0;100.0;100.0;444;1.49;10;0;33;19;9.4;-3;1.1;2.6;99.5;49
Piemonte;80.5;100.0;100.0;99.0;16430;0.66;1150;1653;45;47;9;5;1.5;2.1;96;49
PA Bolzano;94.9;100.0;100.0;97.0;970;0.75;7;330;10;12;21.1;2;2.2;3.7;98;49
PA Trento;95.1;100.0;100.0;96.9;1269;0.77;14;495;33;21;12.9;2;1.1;1.6;100;49
Puglia;97.5;100.0;100.0;100.0;19036;0.84;199;4521;44;50;18.6;3;0.9;1;84.6;49
Sardegna;89.3;100.0;100.0;100.0;4565;0.97;437;232;27;24;9.2;4;0.5;1.8;82.8;49
Sicilia;97.8;100.0;100.0;100.0;16863;1.12;1105;3574;22;32;13.1;2;0.7;2.4;98.1;49
Toscana;98.4;100.0;100.0;99.3;14834;0.88;769;2917;43;31;18.3;0;2;1.7;100;49
Umbria;96.7;100.0;100.0;99.0;1677;0.89;129;254;28;25;10;2;0.9;3;100;49
V.d'Aosta;98.9;100.0;100.0;100.0;720;0.94;55;165;40;23;23.5;2;1.7;1.7;99.9;49
Veneto;96.8;100.0;100.0;100.0;12664;0.71;1219;615;22;20;6.1,1;1;1.8;89.4;49
