Region;1.1%;1.2%;1.3%;1.4%;3.1;3.2;3.5;3.6;3.8%;3.9%;2.1%;2.2;2.4(per 10000);2.5(per 10000);2.6%;Report
Abruzzo;93.0;100.0;100.0;99.7;4462;0.81;446;573;32;42;10.4;2;0.8;1;92.20;46
Basilicata;98.2;100.0;100.0;100.0;1699;1.15;4;0;15;35;9.4;5;1.5;5.2;93.00;46
Calabria;92.2;99.5;100.0;99.9;4925;1.33;31;442;24;42;12.7;3;0.9;0.6;82.80;46
Campania;93.8;87.9;100.0;99.5;28909;1.33;1693;2106;26;38;14.1;1;0.8;1.6;92.80;46
Emilia-Romagna;100.0;100.0;100.0;99.6;31834;0.83;164;6836;52;54;18.8;2;1.3;1.7;88.70;46
FVG;100.0;100.0;100.0;99.9;9951;0.98;681;1961;46;53;14.8;3;1.2;1.2;94.30;46
Lazio;94.4;99.9;100.0;83.0;24855;0.98;329;528;40;47;22.8;3;0.9;1;92.00;46
Liguria;90.2;100.0;100.0;97.5;5471;1.02;404;211;31;35;12;3;1;0.9;93.10;46
Lombardia;82.7;100.0;100.0;98.6;59439;0.89;3845;13279;61;52;19.3;3;0.9;1;84.20;46
Marche;100.0;99.9;100.0;100.0;8823;1.04;189;1411;60;59;13.7;0;0.8;1.4;100.00;46
Molise;96.7;99.2;100.0;100.0;609;1;13;0;41;30;10.6;-1;1.1;2.9;100.00;46
Piemonte;80.9;99.9;99.9;98.8;30138;0.96;2315;3837;59;66;13.8;6;1.4;2;96.60;46
PA Bolzano;74.3;100.0;100.0;95.7;772;0.8;12;401;20;21;25.6;2;6.8;3.5;100.00;46
PA Trento;95.3;100.0;100.0;96.9;2974;0.83;17;1137;53;34;17.3;2;1.1;1.6;100.00;46
Puglia;97.6;100.0;100.0;99.9;23179;1.09;297;6273;46;50;24.9;3;0.9;1;82.20;46
Sardegna;91.7;100.0;100.0;100.0;2211;1.18;237;178;16;13;8.2;3;0.5;2;93.60;46
Sicilia;96.9;99.9;100.0;99.5;10844;1.08;704;2321;16;23;14.2;2;0.7;2.2;96.60;46
Toscana;98.0;100.0;100.0;99.5;18653;1.08;940;3944;43;31;16.1;1;2;1.7;99.90;46
Umbria;91.6;100.0;100.0;99.2;2534;0.83;252;313;43;41;13.2;2;0.9;3;100.00;46
V.d'Aosta;97.5;100.0;100.0;100.0;770;1.52;64;253;27;20;14.1;2;2;1.5;93.80;46
Veneto;88.1;100.0;100.0;100.0;24349;1.12;2210;3140;29;27;8.6;1;1;1.8;88.30;46
