Region;1.1%;1.2%;1.3%;1.4%;3.1;3.2;3.5;3.6;3.8%;3.9%;2.1%;2.2;2.4(per 10000);2.5(per 10000);2.6%;Report
Abruzzo;98.3;100.0;100.0;99.9;1639;0.89;156;184;10;15;3.8;2;0.7;1;100;53
Basilicata;99.3;100.0;100.0;100.0;1395;0.83;3;0;10;23;7.5;4;1.6;5.2;99.6;53
Calabria;89.5;99.3;100.0;99.5;3935;0.74;19;109;17;36;7.7;3;0.9;0.6;87.1;53
Campania;99.9;99.9;100.0;99.9;16542;0.7;762;1934;15;26;8.5;1;0.8;1.6;96.8;53
Emilia-Romagna;100.0;100.0;100.0;99.7;8440;0.78;43;1213;20;15;5.1;2;1.2;1.4;92.3;53
FVG;99.2;99.5;100.0;99.7;1102;0.66;76;130;9;5;2.7;3;0.7;1;98.4;53
Lazio;94.9;100.0;100.0;96.2;10665;0.82;165;177;23;24;9.6;3;0.9;1;96.5;53
Liguria;93.3;100.0;100.0;96.8;1945;0.7;99;43;22;14;3.7;2;0.7;0.8;93.3;53
Lombardia;84.2;100.0;100.0;98.3;17443;0.79;1196;3024;25;21;3.7;2;0.8;0.9;95.5;53
Marche;100.0;100.0;100.0;100.0;2928;0.81;102;214;22;19;8.5;0;0.6;1.4;100;53
Molise;96.3;100.0;100.0;100.0;227;0.69;6;0;10;8;2.4;-0.5;1.1;2.6;100;53
Piemonte;78.8;99.9;100.0;98.8;8833;0.79;604;721;22;19;4.5;4;1.5;2.1;98.1;53
PA Bolzano;98.8;100.0;100.0;99.7;876;0.91;3;282;6;5;20.6;2;1.9;3.2;100;53
PA Trento;97.6;100.0;100.0;96.1;799;0.89;9;292;16;9;8.4;3;1.1;1.6;100;53
Puglia;97.6;100.0;100.0;100.0;9568;0.75;47;1856;21;27;10.1;3;0.9;1;84.6;53
Sardegna;97.2;100.0;100.0;100.0;1317;0.61;110;61;19;13;3.2;4;0.4;1.6;95.6;53
Sicilia;98.2;100.0;100.0;100.0;9796;0.78;571;1185;13;20;7.9;2;0.7;2.3;98;53
Toscana;98.8;100.0;100.0;98.9;8302;0.86;432;1502;29;16;9.6;1;1.6;1.7;100;53
Umbria;95.7;100.0;100.0;99.2;1201;0.96;93;187;15;17;5.5;2;0.9;3;100;53
V.d'Aosta;99.7;100.0;100.0;99.9;371;0.74;6;103;10;11;10.2;2;1.7;2.1;98.3;53
Veneto;98.0;100.0;100.0;100.0;7036;0.74;492;348;9;9;2.5;1;1;1.8;88.4;53
