Region;1.1%;1.2%;1.3%;1.4%;3.1;3.2;3.5;3.6;3.8%;3.9%;2.1%;2.2;2.4(per 10000);2.5(per 10000);2.6%;Report
Abruzzo;79.8;100;100;99.2;8141;1.32;431;5229;37;47;37.4;3;0.5;0.6;81;4;27
Basilicata;70.9;100;100;99.9;2630;1.46;8;0;33;35;12.7;4;2.7;4.8;100;27
Calabria;30.8;99.7;100;86.9;4783;1.06;28;159;34;43;12.6;3;0.9;0.6;95;27
Campania;93.1;99.8;99.3;83.5;51587;1.11;922;2414;34;47;15.9;1;0.4;0.7;96.6;27
Emilia-Romagna;100;100;100;99.2;30923;1.14;71;9051;35;47;25.7;2;0.9;1.4;73.6;27
FVG;91.8;99.8;100;99.6;7693;1.27;684;1645;25;36;29.6;4;1;1.2;91.7;27
Lazio;92.1;99.8;100;80.3;35501;0.82;236;993;32;49;33.9;2;0.9;1;85.4;27
Liguria;65.9;100;100;96.9;14033;0.89;689;326;53;74;17.4;4;0.6;1.4;72.7;27
Lombardia;65.7;99.9;100;97.8;116429;1.15;3563;31686;64;53;45.4;5;0.7;0.9;51.2;27
Marche;99.8;94.3;87.3;100;8512;1.17;225;2151;45;52;30.4;2;0.8;1.5;100;27
Molise;99.6;100;100;100;1199;0.94;29;0;26;27;14.3;-1;1.5;2.2;100;27
Piemonte;95.5;99.8;99.6;98.6;52805;1.09;3177;5497;61;92;30;9;1;1.6;92;27
PA Bolzano;84.5;99.5;100;96.9;8386;1.16;257;680;57;95;56.9;6;0.9;1.4;100;27
PA Trento;99.9;100;100;91.9;3220;1.03;12;1266;39;65;23.1;3;1.1;1.6;95;27
Puglia;95.5;99.9;100;100;15136;1.24;65;6178;41;43;33.4;5;0.9;1.4;92;27
Sardegna;67.3;99.3;100;96.2;5353;0.79;243;254;37;33;14.6;6;0.5;1.6;67.6;27
Sicilia;81.9;99.7;100;99.2;18679;1.14;467;5879;30;36;9.9;3;0.3;0.9;83.6;27
Toscana;99.7;99.9;100;99.7;32761;1.31;623;11079;47;36;25.5;0;2.2;1.7;53.3;27
Umbria;59.2;100;100;99.2;7929;1.06;30;3720;55;50;25.1;4;0.7;2;90.3;27
V.d'Aosta;78.5;99.6;100;99.8;1871;1.14;99;207;46;73;35;5;1;2.9;67.8;27
Veneto;87.8;100;100;100;41623;1.16;4354;3085;27;33;40.5;1;1;1.8;90;27
