Region;1.1%;1.2%;1.3%;1.4%;3.1;3.2;3.5;3.6;3.8%;3.9%;2.1%;2.2;2.4(per 10000);2.5(per 10000);2.6%;Report
Abruzzo;95.8;100.0;100.0;99.7;5028;0.87;464;750;40;44;11.1;3;0.8;1;92.2;45
Basilicata;98.2;100.0;100.0;100.0;1769;0.95;7;3;15;38;9.9;4;1.5;5.2;93;45
Calabria;75.8;99.7;100.0;99.9;4141;1.37;33;117;22;35;11.6;3;0.9;0.6;94.5;45
Campania;95.3;79.2;100.0;99.3;33771;1.05;1667;2816;29;38;14.4;1;0.7;1.5;88.7;45
Emilia-Romagna;100.0;100.0;100.0;99.5;37321;0.98;144;8638;52;56;18.3;2;1.3;1.7;88.7;45
FVG;100.0;100.0;100.0;99.9;10906;1.23;669;1782;47;49;16;3;1.2;1.2;94.3;45
Lazio;95.1;99.9;100.0;84.9;24153;0.99;293;467;37;42;22.9;3;0.9;1;92;45
Liguria;93.7;100.0;100.0;97.7;4739;1;386;147;29;34;10.4;3;1;0.9;93.1;45
Lombardia;83.3;100.0;100.0;98.6;63943;1.08;3815;14642;59;53;20.2;3;0.9;1;80;45
Marche;100.0;100.0;100.0;100.0;10062;1.15;199;2382;61;64;17.6;0;0.8;1.4;100;45
Molise;97.7;99.4;100.0;100.0;805;1.17;9;0;44;41;9.2;-0.5;1.1;2.9;100;45
Piemonte;81.0;99.9;99.8;98.7;29694;1.17;2469;4029;55;61;14.2;5;1.4;2;96.6;45
PA Bolzano;73.2;99.5;100.0;97.5;849;0.78;11;410;30;24;28.3;2;6.8;3.5;100;45
PA Trento;95.6;100.0;100.0;97.1;3467;1.02;14;1335;58;35;16.2;2;1.1;1.6;100;45
Puglia;97.6;100.0;100.0;99.9;21072;1.17;223;6180;39;49;23.7;3;0.9;1;82.2;45
Sardegna;92.1;100.0;100.0;100.0;1512;1.03;168;67;12;11;5.4;3;0.5;2;93.6;45
Sicilia;96.8;100.0;100.0;99.4;9451;0.99;502;2265;15;21;13.4;2;0.7;2.2;96.6;45
Toscana;98.3;100.0;100.0;99.5;17905;1.1;998;4005;40;30;15.8;1;2;1.7;99.9;45
Umbria;91.7;100.0;100.0;99.3;2785;0.97;250;372;48;45;12.3;2;0.9;3;100;45
V.d'Aosta;98.7;100.0;100.0;100.0;482;1.75;70;104;15;11;11;2;2;1.5;99;45
Veneto;84.7;100.0;100.0;100.0;24045;1.23;2448;3326;24;25;8.3;1;1;1.8;88.7;45
