Regione;1.1%;1.2%;1.3%;1.4%;3.1;3.2;3.5;3.6;3.8%;3.9%;2.1%;2.2;2.4 (per 10000);2.5(per 10000);2.6%;Report
Abruzzo;95.0;99.9;100.0;99.6;6404;1.05;476;1504;41;45;9.6;3;0.8;1;92.2;43
Basilicata;99.7;100.0;66.7;100.0;1744;1.53;16;3;16;27;9.1;2;1.8;4.4;94.1;43
Calabria;92.2;100.0;100.0;99.8;2784;0.83;27;404;23;25;8.4;2;0.9;0.6;94.5;43
Campania;94.9;100.0;100.0;98.9;32105;1.5;1776;2602;23;35;13.9;1;0.7;1.5;88.7;43
Emilia-Romagna;100.0;100.0;100.0;99.5;33626;1.34;149;10796;40;47;19.4;2;1.2;1.6;94.2;43
FVG;100.0;100.0;100.0;100.0;6786;1.39;545;1340;34;37;14.4;2;1.2;1.2;98.3;43
Lazio;95.1;99.8;100.0;85.2;18355;1.31;322;229;28;32;20.1;3;0.9;1;86.7;43
Liguria;96.0;99.9;100.0;98.0;4626;1.13;307;192;28;29;9.4;2;1;0.9;93.1;43
Lombardia;81.4;100.0;100.0;98.7;54697;1.3;2844;13113;43;46;28.1;3;0.9;0.9;76.2;43
Marche;99.9;100.0;100.0;100.0;9372;1.08;255;2544;44;54;16.3;0;1;1.5;100;43
Molise;94.5;99.4;100.0;100.0;1101;1.07;10;0;67;45;10.3;-0.5;1.1;2.9;100;43
Piemonte;80.9;99.5;99.6;98.6;20272;1.41;2035;3446;36;42;12.4;5;1.4;1.9;98.7;43
PA Bolzano;78.8;99.7;100.0;99.1;3734;0.61;6;324;39;32;40.8;2;5.6;1.4;100;43
PA Trento;97.8;100.0;100.0;97.4;3944;1.04;13;1568;54;34;16.7;2;1.1;1.6;100;43
Puglia;97.6;100.0;100.0;100.0;14998;1.23;179;4395;29;38;21.8;3;1;1.1;95.9;43
Sardegna;95.0;100.0;100.0;100.0;1057;0.89;86;43;12;12;4.3;3;0.6;1.9;96.9;43
Sicilia;93.4;100.0;100.0;99.7;7398;1;417;1600;13;17;11.8;2;0.7;2.2;96.6;43
Toscana;97.8;100.0;100.0;99.5;15630;1.23;922;3856;36;24;10.1;1;1.9;1.5;100;43
Umbria;94.2;100.0;100.0;99.5;3447;0.82;303;517;57;51;14.6;2;0.9;3;100;43
V.d'Aosta;100.0;100.0;100.0;100.0;157;1.4;23;35;10;4;6.8;2;1.3;1.4;100;43
Veneto;86.3;99.9;100.0;100.0;16003;1.28;1747;1745;14;17;6.8;1;1;1.8;82.4;43
