Regione;1.1%;1.2%;1.3%;1.4%;3.1;3.2;3.5;3.6;3.8%;3.9%;2.1%;2.2;2.4 (per 10000);2.5(per 10000);2.6%;Report
Abruzzo;86.9;99.7;100.0;99.8;3197;0.7;164;786;23;37;24.8;3;0.9;1;87;32
Basilicata;99.9;100.0;100.0;100.0;1089;0.69;0;15;9;21;7.9;0;1.2;6.2;100;32
Calabria;86.1;100.0;97.1;98.8;2614;0.8;12;148;14;32;7.8;2;0.9;0.6;95;32
Campania;90.4;100.0;100.0;99.0;15275;0.65;441;2013;19;35;10.2;1;0.7;1.3;91.3;32
Emilia-Romagna;100.0;100.0;100.0;99.4;21832;0.82;37;5180;27;52;14;2;1.2;1.7;80.4;32
FVG;99.9;100.0;100.0;99.8;9724;0.78;530;1725;32;48;22.2;3;1.3;1.2;93.7;32
Lazio;91.5;98.8;100.0;94.5;18763;0.96;246;175;33;42;22.5;4;0.9;1;92.7;32
Liguria;85.6;99.9;100.0;97.7;3798;0.82;217;79;32;42;8.7;3;1;1;80;32
Lombardia;72.7;99.9;100.0;98.4;30109;0.92;1672;8152;44;34;27.8;3;1;0.9;91.1;32
Marche;99.9;100.0;100.0;100.0;4876;0.81;146;941;33;35;16.6;1;1;1.4;100;32
Molise;98.5;100.0;100.0;100.0;748;1.02;9;0;26;27;11.5;0;1.5;2.4;100;32
Piemonte;98.5;99.5;99.9;98.6;11569;0.69;732;1362;37;59;13;5;1.2;1.8;94.3;32
PA Bolzano;93.2;99.4;100.0;99.6;2761;0.71;33;251;29;36;44.4;3;5.4;1.4;100;32
PA Trento;100.0;100.0;100.0;95.1;2992;0.68;6;1558;54;63;20.7;11;1.1;1.6;100;32
Puglia;93.5;100.0;100.0;100.0;16258;0.88;164;4217;36;41;33.5;4;0.9;1.4;92;32
Sardegna;61.8;99.8;100.0;99.7;4200;0.74;275;154;27;33;10.7;4;0.7;1.9;77.1;32
Sicilia;91.1;99.9;100.0;99.2;13040;0.74;583;3193;23;27;9.6;3;0.7;1.9;86.6;32
Toscana;96.8;100.0;100.0;99.3;7386;0.7;179;1676;32;19;12.4;0;2.1;1.8;99.2;32
Umbria;92.4;100.0;100.0;99.4;2097;0.76;152;661;32;33;13.2;3;1.5;4.6;100;32
V.d'Aosta;94.3;100.0;100.0;99.7;305;0.68;50;0;12;48;18.6;3;2.2;4.1;100;32
Veneto;86.5;100.0;100.0;100.0;51674;1.11;5152;5868;34;44;14.9;2;1;2.8;91.6;32
