Region,Restriction,Start,End
Molise,Orange,2021-01-04,2021-01-04
Molise,Red,2021-01-05,2021-01-06
Molise,Yellow,2021-01-07,2021-02-20
Molise,Orange,2021-02-21,2021-02-28
Molise,Red,2021-03-01,2021-03-22
P.A.Bolzano,Yellow,2020-11-06,2020-11-10
P.A.Bolzano,Red,2020-11-11,2020-12-05
P.A.Bolzano,Orange,2020-12-06,2020-12-19
P.A.Bolzano,Yellow,2020-12-20,2020-12-23
P.A.Bolzano,Red,2020-12-24,2020-12-27
P.A.Bolzano,Orange,2020-12-28,2020-12-30
P.A.Bolzano,Red,2020-12-31,2021-01-03
P.A.Bolzano,Orange,2021-01-04,2021-01-04
P.A.Bolzano,Red,2021-01-05,2021-01-06
P.A.Bolzano,Yellow,2021-01-07,2021-01-17
P.A.Bolzano,Red,2021-01-18,2021-01-31
P.A.Bolzano,Orange,2021-02-01,2021-03-22
P.A.Trento,Yellow,2020-11-06,2020-12-23
P.A.Trento,Red,2020-12-24,2020-12-27
P.A.Trento,Orange,2020-12-28,2020-12-30
P.A.Trento,Red,2020-12-31,2021-01-03
P.A.Trento,Orange,2021-01-04,2021-01-04
P.A.Trento,Red,2021-01-05,2021-01-06
P.A.Trento,Yellow,2021-01-07,2021-02-13
P.A.Trento,Orange,2021-02-14,2021-03-14
P.A.Trento,Red,2021-03-15,2021-03-22
Piemonte,Red,2020-11-06,2020-11-28
Piemonte,Orange,2020-11-29,2020-12-12
Piemonte,Yellow,2020-12-13,2020-12-23
Piemonte,Red,2020-12-24,2020-12-27
Piemonte,Orange,2020-12-28,2020-12-30
Piemonte,Red,2020-12-31,2021-01-03
Piemonte,Orange,2021-01-04,2021-01-04
Piemonte,Red,2021-01-05,2021-01-06
Piemonte,Yellow,2021-01-07,2021-01-17
Piemonte,Orange,2021-01-18,2021-01-31
Piemonte,Yellow,2021-02-01,2021-02-28
Piemonte,Orange,2021-03-01,2021-03-14
Piemonte,Red,2021-03-15,2021-03-22
Puglia,Orange,2020-11-06,2020-12-05
Puglia,Yellow,2020-12-06,2020-12-23
Puglia,Red,2020-12-24,2020-12-27
Puglia,Orange,2020-12-28,2020-12-30
Puglia,Red,2020-12-31,2021-01-03
Puglia,Orange,2021-01-04,2021-01-04
Puglia,Red,2021-01-05,2021-01-06
Puglia,Yellow,2021-01-07,2021-01-17
Puglia,Orange,2021-01-18,2021-02-10
Puglia,Yellow,2021-02-11,2021-03-14
Puglia,Red,2021-03-15,2021-03-22
Sardegna,Yellow,2020-11-06,2020-12-23
Sardegna,Red,2020-12-24,2020-12-27
Sardegna,Orange,2020-12-28,2020-12-30
Sardegna,Red,2020-12-31,2021-01-03
Sardegna,Orange,2021-01-04,2021-01-04
Sardegna,Red,2021-01-05,2021-01-06
Sardegna,Yellow,2021-01-07,2021-01-23
Sardegna,Orange,2021-01-24,2021-02-07
Sardegna,Yellow,2021-02-08,2021-02-28
Sardegna,White,2021-03-01,2021-03-22
Sicilia,Orange,2020-11-06,2020-11-28
Sicilia,Yellow,2020-11-29,2020-12-23
Sicilia,Red,2020-12-24,2020-12-27
Sicilia,Orange,2020-12-28,2020-12-30
Sicilia,Red,2020-12-31,2021-01-03
Sicilia,Orange,2021-01-04,2021-01-04
Sicilia,Red,2021-01-05,2021-01-06
Sicilia,Yellow,2021-01-07,2021-01-08
Sicilia,Orange,2021-01-09,2021-01-17
Sicilia,Red,2021-01-18,2021-01-31
Sicilia,Orange,2021-02-01,2021-02-14
Sicilia,Yellow,2021-02-15,2021-03-14
Sicilia,Orange,2021-03-15,2021-03-22
Toscana,Yellow,2020-11-06,2020-11-10
Toscana,Orange,2020-11-11,2020-11-14
Toscana,Red,2020-11-15,2020-12-05
Toscana,Orange,2020-12-06,2020-12-19
Toscana,Yellow,2020-12-20,2020-12-23
Toscana,Red,2020-12-24,2020-12-27
Toscana,Orange,2020-12-28,2020-12-30
Toscana,Red,2020-12-31,2021-01-03
Toscana,Orange,2021-01-04,2021-01-04
Toscana,Red,2021-01-05,2021-01-06
Toscana,Yellow,2021-01-07,2021-02-13
Toscana,Orange,2021-02-14,2021-03-22
Umbria,Yellow,2020-11-06,2020-11-10
Umbria,Orange,2020-11-11,2020-12-05
Umbria,Yellow,2020-12-06,2020-12-23
Umbria,Red,2020-12-24,2020-12-27
Umbria,Orange,2020-12-28,2020-12-30
Umbria,Red,2020-12-31,2021-01-03
Umbria,Orange,2021-01-04,2021-01-04
Umbria,Red,2021-01-05,2021-01-06
Umbria,Yellow,2021-01-07,2021-01-17
Umbria,Orange,2021-01-18,2021-03-22
Valled'Aosta,Red,2020-11-06,2020-12-05
Valled'Aosta,Orange,2020-12-06,2020-12-19
Valled'Aosta,Yellow,2020-12-20,2020-12-23
Valled'Aosta,Red,2020-12-24,2020-12-27
Valled'Aosta,Orange,2020-12-28,2020-12-30
Valled'Aosta,Red,2020-12-31,2021-01-03
Valled'Aosta,Orange,2021-01-04,2021-01-04
Valled'Aosta,Red,2021-01-05,2021-01-06
Valled'Aosta,Yellow,2021-01-07,2021-01-17
Valled'Aosta,Orange,2021-01-18,2021-01-31
Valled'Aosta,Yellow,2021-02-01,2021-03-14
Valled'Aosta,Orange,2021-03-15,2021-03-22
Veneto,Yellow,2020-11-06,2020-12-23
Veneto,Red,2020-12-24,2020-12-27
Veneto,Orange,2020-12-28,2020-12-30
Veneto,Red,2020-12-31,2021-01-03
Veneto,Orange,2021-01-04,2021-01-04
Veneto,Red,2021-01-05,2021-01-06
Veneto,Yellow,2021-01-07,2021-01-08
Veneto,Orange,2021-01-09,2021-01-31
Veneto,Yellow,2021-02-01,2021-03-07
Veneto,Orange,2021-03-08,2021-03-14
Veneto,Red,2021-03-15,2021-03-22
